Jenis Kelamin,Umur_Group,Wilayah,Tanggapan,Tanggapan_Final,Dimensi,Sentimen
Perempuan,15-17 tahun,Tapteng,ketika banjir terjadi perubahan yang terjadi antara lain keadaan sekitar yang sudah hancur bangunan yang bagus jadi jelek pepohonann bertumbangan air jernih menjadi jorok dan perumahan yang roboh dan hancur,banjir jadi ubah jadi lain ada hancur bangun bagus jadi jelek pepohonann tumbang air jernih jadi jorok rumah yang roboh hancur,6. Harapan Anak,Netral
Perempuan,15-17 tahun,Tapteng,dari sebelum terjadinya banjir yang berubah yaitu tempat yang dulunya ndah berkumpul bersama kami tidak ada lagi karena habis di terjang oelh arus banjir yang kuat yang menyebabkan tempat lain rusak parah,belum jadi banjir ubah tempat dulunya ndah kumpul sama tidak lagi habis terjang oelh arus banjir kuat sebab tempat rusak parah,6. Harapan Anak,Negatif
Perempuan,15-17 tahun,Tapteng,dulu desa kami sangat indah pemandangan yang bagus tetapi sekarang semuanya hancur total akibat diterjang banjir bandang,dulu desa sangat indah pandang bagus sekarang semua hancur total akibat terjang banjir bandang,Lainnya,Netral
Perempuan,15-17 tahun,Tapteng,sesudah terjadi banjir dibeberapa bulan yang lalu yaitu banyak rumah saudara yang rusak karena banjir dan karena pohonpohon yang tumbang akibat longsor,jadi banjir beberapa bulan lalu banyak rumah saudara rusak banjir karena pohonpohon tumbang akibat longsor,4. Kesejahteraan Sosial,Negatif
Perempuan,15-17 tahun,Tapteng,sesudah terjadi banjir dibeberapa bulan yang lalu yaitu banyak rumah saudara yang rusak karena banjir dan karena pohonpohon yang tumbang akibat longsor,jadi banjir beberapa bulan lalu banyak rumah saudara rusak banjir karena pohonpohon tumbang akibat longsor,5. Pengetahuan Bencana,Negatif
Perempuan,15-17 tahun,Tapteng,saya melihat orangtua jadi susah mencari pekerjaan dan tempattempat sekitar pada rusak akibat banjir,lihat orangtua jadi susah cari kerja tempattempat pada rusak akibat banjir,Lainnya,Negatif
Perempuan,15-17 tahun,Tapteng,saya melhat perubahaan yang ada di lingkungan seperti adanya kegiatan atau kebersamaan antara sesama saling membantu dalam keadaan susah dan bisa bertemu lagi dengan temanteman dan keluarga dalam keadaan sehat,melhat perubahaan ada lingkung ada giat sama sama saling bantu ada susah bisa temu dengan temanteman keluarga ada sehat,3. Perlindungan Anak,Negatif
Perempuan,15-17 tahun,Tapteng,saya melhat perubahaan yang ada di lingkungan seperti adanya kegiatan atau kebersamaan antara sesama saling membantu dalam keadaan susah dan bisa bertemu lagi dengan temanteman dan keluarga dalam keadaan sehat,melhat perubahaan ada lingkung ada giat sama sama saling bantu ada susah bisa temu dengan temanteman keluarga ada sehat,5. Pengetahuan Bencana,Negatif
Perempuan,15-17 tahun,Tapteng,yang saya dengar terjadi pada saat bencana ada beberapa saudara yang menjadi korban jiwa akibat terjadinya longsor,saya dengar jadi saat bencana beberapa saudara jadi korban jiwa akibat jadi longsor,5. Pengetahuan Bencana,Netral
Perempuan,15-17 tahun,Tapteng,saya dengar tentang mikirkan tempat tinggal untuk bernaung karena rumah kami telah hancur dengan adanya bencana,dengar mikirkan tempat tinggal naung rumah telah hancur ada bencana,4. Kesejahteraan Sosial,Netral
Perempuan,15-17 tahun,Tapteng,saya dengar setelah bencana ini adalah adanya keluarga yang kehilangan rumah dan juga banyaknya korban jiwa di berbagai tempat atau daerah,dengar bencana adalah ada keluarga hilang rumah juga banyak korban jiwa bagai tempat daerah,3. Perlindungan Anak,Negatif
Perempuan,15-17 tahun,Tapteng,saya dengar setelah bencana ini adalah adanya keluarga yang kehilangan rumah dan juga banyaknya korban jiwa di berbagai tempat atau daerah,dengar bencana adalah ada keluarga hilang rumah juga banyak korban jiwa bagai tempat daerah,4. Kesejahteraan Sosial,Negatif
Perempuan,15-17 tahun,Tapteng,saya dengar bagaimana kondisi sekolah bagaimana nanti untuk melaksanakan ujian ukk dan ujian sekolah lainnya,dengar bagaimana kondisi sekolah bagaimana untuk laksana uji ukk uji sekolah lain,1. Pendidikan,Netral
Perempuan,15-17 tahun,Tapteng,saya dengar menurunnya sulit mendapat pekerjaan terhalang akibat bencana hilangnya rumah warga,dengar turun sulit dapat kerja halang akibat bencana hilang rumah warga,4. Kesejahteraan Sosial,Negatif
Perempuan,15-17 tahun,Tapteng,banyaknya rumahrumah yang rusak parah dan ada juga yang kehilangan banyak nyawa keluarga bahkan temanteman,banyak rumahrumah rusak parah ada yang hilang banyak nyawa keluarga bahkan temanteman,3. Perlindungan Anak,Negatif
Perempuan,15-17 tahun,Tapteng,banyaknya rumahrumah yang rusak parah dan ada juga yang kehilangan banyak nyawa keluarga bahkan temanteman,banyak rumahrumah rusak parah ada yang hilang banyak nyawa keluarga bahkan temanteman,4. Kesejahteraan Sosial,Negatif
Perempuan,15-17 tahun,Tapteng,masih gelap tapi suara tekanan dari segala arah saling bersautan suara tangisan anakanak yang terasa memiluhkan suara derasnya hujan dan air yang saling menabrak tanah dan rumah sekitar arus yang memamerkan suaraa kerasnya dan betapa besarnya air pada saat itu orang dewasa anakanak dan remaja yang menyebut namanama yang mereka sayangi untuk salng menguatkan,gelap suara tekan segala arah saling saut suara tangis anakanak asa memiluhkan suara deras hujan air saling tabrak tanah rumah arus pamer suaraa keras betapa besar air saat orang dewasa anakanak remaja sebut namanama mereka sayang salng kuat,3. Perlindungan Anak,Positif
Perempuan,15-17 tahun,Tapteng,masih gelap tapi suara tekanan dari segala arah saling bersautan suara tangisan anakanak yang terasa memiluhkan suara derasnya hujan dan air yang saling menabrak tanah dan rumah sekitar arus yang memamerkan suaraa kerasnya dan betapa besarnya air pada saat itu orang dewasa anakanak dan remaja yang menyebut namanama yang mereka sayangi untuk salng menguatkan,gelap suara tekan segala arah saling saut suara tangis anakanak asa memiluhkan suara deras hujan air saling tabrak tanah rumah arus pamer suaraa keras betapa besar air saat orang dewasa anakanak remaja sebut namanama mereka sayang salng kuat,4. Kesejahteraan Sosial,Positif
Perempuan,15-17 tahun,Tapteng,kekuirangan bahan pokok makanan apalagi air bersih yang paling di butuhkan masyarakat,kekuirangan bahan pokok makan air bersih paling butuh masyarakat,2. Kesehatan,Netral
Perempuan,15-17 tahun,Tapteng,banyak yang kehilangan tempat tinggal rumah pada hancur yang paling mirisnya lagi kehilangan nyawa,banyak hilang tempat tinggal rumah hancur paling miris hilang nyawa,4. Kesejahteraan Sosial,Negatif
Perempuan,15-17 tahun,Tapteng,saya dengar selama bencana ini banyak orang yang mengeluh akibat bencana kemarin terutama soal tempat tinggal mereka yang banyak hancur dan kerusakan lainnya,dengar lama bencana banyak orang keluh akibat bencana kemarin utama soal tempat tinggal yang banyak hancur rusa lain,Lainnya,Netral
Perempuan,15-17 tahun,Tapteng,kehilangan rumah akibat dibawa banjir dan kehilangan nyawa akibat longsor,hilang rumah akibat bawa banjir hilang nyawa akibat longsor,4. Kesejahteraan Sosial,Negatif
Perempuan,15-17 tahun,Tapteng,kehilangan rumah akibat dibawa banjir dan kehilangan nyawa akibat longsor,hilang rumah akibat bawa banjir hilang nyawa akibat longsor,5. Pengetahuan Bencana,Negatif
Perempuan,15-17 tahun,Tapteng,saya dengar setelah banjir bandang terjadi banyak orang yang mengeluh tentang betapa sakitnya yang terjadi saat bencana karena mereka harus kehilangan keluarga ataupun rumahrumah mereka,dengar banjir bandang jadi banyak orang keluh betapa sakit jadi bencana hilang keluarga atau rumahrumah mereka,2. Kesehatan,Negatif
Perempuan,15-17 tahun,Tapteng,saya dengar setelah banjir bandang terjadi banyak orang yang mengeluh tentang betapa sakitnya yang terjadi saat bencana karena mereka harus kehilangan keluarga ataupun rumahrumah mereka,dengar banjir bandang jadi banyak orang keluh betapa sakit jadi bencana hilang keluarga atau rumahrumah mereka,3. Perlindungan Anak,Negatif
Perempuan,15-17 tahun,Tapteng,saya dengar setelah banjir bandang terjadi banyak orang yang mengeluh tentang betapa sakitnya yang terjadi saat bencana karena mereka harus kehilangan keluarga ataupun rumahrumah mereka,dengar banjir bandang jadi banyak orang keluh betapa sakit jadi bencana hilang keluarga atau rumahrumah mereka,4. Kesejahteraan Sosial,Negatif
Perempuan,15-17 tahun,Tapteng,kehilangan nyawa,hilang nyawa,Lainnya,Negatif
Perempuan,15-17 tahun,Tapteng,saya dengarkan banyaknya yang kehilangan rumah kehilangan orang tersayang contohnya korban bencana banjir ekonomi yang mulai tidak membaik,dengar banyak hilang rumah hilang orang sayang contoh korban bencana banjir ekonomi mulai baik,4. Kesejahteraan Sosial,Negatif
Perempuan,15-17 tahun,Tapteng,kalau dikasih kesempatan untuk bertemu saudara jauh kalau tentang makanan atau minuman tidak berkekurangan dan semuanya makanan dan minuman sudah bisa bergantian dan makanan bergizi,kalau kasih sempat temu saudara jauh kalau makan minum rang semua makan minum bisa ganti makan gizi,2. Kesehatan,Netral
Perempuan,15-17 tahun,Tapteng,saya mau cerita kepada pak prabowo karena saya sedih tidak dapat lanjut kuliah karena kebun sawit rusak orangtua jadi tidak sanggup biayain selama bulan hampir setiap hari makan indomie,mau cerita pak prabowo saya sedih dapat lanjut kuliah kebun sawit rusak orangtua jadi sanggup biayain lama bulan hampir hari makan indomie,1. Pendidikan,Negatif
Perempuan,15-17 tahun,Tapteng,saya mau cerita kepada pak prabowo karena saya sedih tidak dapat lanjut kuliah karena kebun sawit rusak orangtua jadi tidak sanggup biayain selama bulan hampir setiap hari makan indomie,mau cerita pak prabowo saya sedih dapat lanjut kuliah kebun sawit rusak orangtua jadi sanggup biayain lama bulan hampir hari makan indomie,2. Kesehatan,Negatif
Perempuan,15-17 tahun,Tapteng,saya mau cerita kepada pak prabowo karena saya sedih tidak dapat lanjut kuliah karena kebun sawit rusak orangtua jadi tidak sanggup biayain selama bulan hampir setiap hari makan indomie,mau cerita pak prabowo saya sedih dapat lanjut kuliah kebun sawit rusak orangtua jadi sanggup biayain lama bulan hampir hari makan indomie,3. Perlindungan Anak,Negatif
Perempuan,15-17 tahun,Tapteng,saya mau cerita kepada pak prabowo karena saya sedih tidak dapat lanjut kuliah karena kebun sawit rusak orangtua jadi tidak sanggup biayain selama bulan hampir setiap hari makan indomie,mau cerita pak prabowo saya sedih dapat lanjut kuliah kebun sawit rusak orangtua jadi sanggup biayain lama bulan hampir hari makan indomie,4. Kesejahteraan Sosial,Negatif
Perempuan,15-17 tahun,Tapteng,saya mau cerita kepada pak prabowo karena saya sedih tidak dapat lanjut kuliah karena kebun sawit rusak orangtua jadi tidak sanggup biayain selama bulan hampir setiap hari makan indomie,mau cerita pak prabowo saya sedih dapat lanjut kuliah kebun sawit rusak orangtua jadi sanggup biayain lama bulan hampir hari makan indomie,6. Harapan Anak,Negatif
Perempuan,15-17 tahun,Tapteng,memanggil nama mereka yang salng menyayangi mengucapkan katakata permohonan kepada sang pencipta meneriakkan apapun yang mereka rasakan dengan suara sedih dan senduh,panggil nama salng sayang ucap katakata mohon sang cipta teriak apa yang mereka rasa suara sedih senduh,3. Perlindungan Anak,Negatif
Perempuan,15-17 tahun,Tapteng,setelah banjir saya mau ketemu dengan kakak saya mau menceritakan tentang bahan makanan yang mulai menipis dan bahanbahan yang mau dibeli pun tidak ada di jual karena bencana alam,banjir mau ketemu kakak mau cerita bahan makan mulai tip bahanbahan mau beli tidak di jual bencana alam,2. Kesehatan,Netral
Perempuan,15-17 tahun,Tapteng,setelah banjir saya mau ketemu dengan kakak saya mau menceritakan tentang bahan makanan yang mulai menipis dan bahanbahan yang mau dibeli pun tidak ada di jual karena bencana alam,banjir mau ketemu kakak mau cerita bahan makan mulai tip bahanbahan mau beli tidak di jual bencana alam,6. Harapan Anak,Netral
Perempuan,15-17 tahun,Tapteng,saya rasakan selama bencana ni saya merasakan makanan yang selama bencana ini saya konsumsi kurang sehat dikarenakan semuanya serba instan dan juga disaat itu kami kesusahan atau kekurangan air bersih,rasa lama bencana ni rasa makan lama bencana saya konsumsi kurang sehat karena semua serba instan juga saat kami susah kurang air bersih,2. Kesehatan,Negatif
Perempuan,15-17 tahun,Tapteng,saya ingin bertemu dengan bapak bupati pasca banjir tapteng makanan yang kami makan hanya indomie telur itupun makanannya kurang sehat tapi apalah daya kami terpaksa memakannya agar bisa bertahan hidup,ingin temu bapak bupati pasca banjir tapteng makan makan indomie telur itu makan kurang sehat apa daya kami paksa makan bisa tahan hidup,2. Kesehatan,Netral
Perempuan,15-17 tahun,Tapteng,saya ingin bertemu dengan bapak bupati pasca banjir tapteng makanan yang kami makan hanya indomie telur itupun makanannya kurang sehat tapi apalah daya kami terpaksa memakannya agar bisa bertahan hidup,ingin temu bapak bupati pasca banjir tapteng makan makan indomie telur itu makan kurang sehat apa daya kami paksa makan bisa tahan hidup,6. Harapan Anak,Netral
Perempuan,15-17 tahun,Tapteng,untuk kesempatan bertemu saya ingin bertemu pemerintah kota dan daerah yang dikonsumsi seminggu kemarin yaitu makanan instan rasanya bosan,sempat temu ingin temu perintah kota daerah konsumsi minggu kemarin makan instan rasa bosan,2. Kesehatan,Netral
Perempuan,15-17 tahun,Tapteng,untuk kesempatan bertemu saya ingin bertemu pemerintah kota dan daerah yang dikonsumsi seminggu kemarin yaitu makanan instan rasanya bosan,sempat temu ingin temu perintah kota daerah konsumsi minggu kemarin makan instan rasa bosan,6. Harapan Anak,Netral
Perempuan,15-17 tahun,Tapteng,orang yang mau diketemui pemerintah dan orang yang mempunyai jabatan tentang warga negar makanan yang dikonsumsi belum dapat mbg jadi tidak tahu rasanya,orang mau ketemu perintah orang punya jabat warga negar makan konsumsi dapat mbg jadi tahu rasa,2. Kesehatan,Netral
Perempuan,15-17 tahun,Tapteng,orang yang mau diketemui pemerintah dan orang yang mempunyai jabatan tentang warga negar makanan yang dikonsumsi belum dapat mbg jadi tidak tahu rasanya,orang mau ketemu perintah orang punya jabat warga negar makan konsumsi dapat mbg jadi tahu rasa,6. Harapan Anak,Netral
Perempuan,15-17 tahun,Tapteng,selama bencana kemarin makanmakanan yang kurang sehat karna bahan pangan semua pada naik dan untuk air minum kami juga susah karna air juga mati,lama bencana kemarin makanmakanan kurang sehat karna bahan pangan semua naik untuk air minum susah karna air juga mati,2. Kesehatan,Negatif
Perempuan,15-17 tahun,Tapteng,saudara atau keluarga jauh untuk menceritakan kondisi saat banjir dan setelah banjir makanan minggu terakhir ikan laut telur sayur dikarena pada saat banjir hampir satu minggu makan mie instan,saudara keluarga jauh cerita kondisi banjir telah banjir makan minggu akhir ikan laut telur sayur karena saat banjir hampir satu minggu makan mie instan,2. Kesehatan,Netral
Perempuan,15-17 tahun,Tapteng,saudara atau keluarga jauh untuk menceritakan kondisi saat banjir dan setelah banjir makanan minggu terakhir ikan laut telur sayur dikarena pada saat banjir hampir satu minggu makan mie instan,saudara keluarga jauh cerita kondisi banjir telah banjir makan minggu akhir ikan laut telur sayur karena saat banjir hampir satu minggu makan mie instan,3. Perlindungan Anak,Netral
Perempuan,15-17 tahun,Tapteng,saudara jauh atau keluarga saya saya ingin menceritakan yang saya rasakan saat bencana makanan minggu terakhir yang ituitu saja telur dan kadang ikan,saudara jauh keluarga saya cerita saya rasa bencana makan minggu akhir ituitu telur kadang ikan,2. Kesehatan,Netral
Perempuan,15-17 tahun,Tapteng,saudara jauh atau keluarga saya saya ingin menceritakan yang saya rasakan saat bencana makanan minggu terakhir yang ituitu saja telur dan kadang ikan,saudara jauh keluarga saya cerita saya rasa bencana makan minggu akhir ituitu telur kadang ikan,3. Perlindungan Anak,Netral
Perempuan,15-17 tahun,Tapteng,saya rasakan selama bencana kemarin saya merasa makanan yang saya konsumsi kurang sehat karena makanannya serba instan dan juga air pada saat itu susah,rasa lama bencana kemarin rasa makan saya konsumsi kurang sehat makan serba instan juga air saat susah,2. Kesehatan,Negatif
Perempuan,15-17 tahun,Tapteng,setelah banjir bandang terjadi persediaan makanan kami sangat kritis kami harus berhemathemat dan makan telur dan intermi kalau saya diberi kesempatan saya ingin bertemu dengan pak prabowo karna saya ingin menceritakan tentang kondisi kami,banjir bandang jadi sedia makan sangat kritis harus berhemathemat makan telur intermi kalau beri sempat ingin temu pak prabowo karna ingin cerita kondisi,1. Pendidikan,Netral
Perempuan,15-17 tahun,Tapteng,setelah banjir bandang terjadi persediaan makanan kami sangat kritis kami harus berhemathemat dan makan telur dan intermi kalau saya diberi kesempatan saya ingin bertemu dengan pak prabowo karna saya ingin menceritakan tentang kondisi kami,banjir bandang jadi sedia makan sangat kritis harus berhemathemat makan telur intermi kalau beri sempat ingin temu pak prabowo karna ingin cerita kondisi,2. Kesehatan,Netral
Perempuan,15-17 tahun,Tapteng,setelah banjir bandang terjadi persediaan makanan kami sangat kritis kami harus berhemathemat dan makan telur dan intermi kalau saya diberi kesempatan saya ingin bertemu dengan pak prabowo karna saya ingin menceritakan tentang kondisi kami,banjir bandang jadi sedia makan sangat kritis harus berhemathemat makan telur intermi kalau beri sempat ingin temu pak prabowo karna ingin cerita kondisi,6. Harapan Anak,Netral
Perempuan,15-17 tahun,Tapteng,setelah terjadi banjir badan saya capek dan lemas akibat membersihkan rumah yang terkenak banjir,jadi banjir badan capek lemas akibat bersih rumah nak banjir,2. Kesehatan,Negatif
Perempuan,15-17 tahun,Tapteng,setelah terjadi banjir badan saya capek dan lemas akibat membersihkan rumah yang terkenak banjir,jadi banjir badan capek lemas akibat bersih rumah nak banjir,4. Kesejahteraan Sosial,Negatif
Perempuan,15-17 tahun,Tapteng,saya merasakan badan saya semua sakit karena pada saat kejadian banjir posisinya hujan lebat dan kami disitu tidak ada perlindungan setelah dari kejadian itu badan saya sakit,rasa badan semua sakit pada jadi banjir posisi hujan lebat kami situ ada lindung dari jadi badan sakit,2. Kesehatan,Negatif
Perempuan,15-17 tahun,Tapteng,bahu saya terasa capek lelah karena setiap hari menimba air sumur,bahu asa capek lelah tiap hari timba air sumur,2. Kesehatan,Negatif
Perempuan,15-17 tahun,Tapteng,pegalpegal pada badan dikarenakan harus mengambil air dari rumah tetangga karena sumur sudah terisi oleh lumpur sehingga tidak bisa mengambil,pegalpegal badan karena ambil air rumah tetangga sumur isi lumpur tidak ambil,2. Kesehatan,Negatif
Perempuan,15-17 tahun,Tapteng,pegalpegal pada badan dikarenakan harus mengambil air dari rumah tetangga karena sumur sudah terisi oleh lumpur sehingga tidak bisa mengambil,pegalpegal badan karena ambil air rumah tetangga sumur isi lumpur tidak ambil,4. Kesejahteraan Sosial,Negatif
Perempuan,15-17 tahun,Tapteng,saya merasakan selama banjir kemarin bahu dan badan saya cape dan lelah karena kesulitan mengangkat air bersih untuk dipakai di rumah,rasa lama banjir kemarin bahu badan cape lelah sulit angkat air bersih pakai rumah,2. Kesehatan,Negatif
Perempuan,15-17 tahun,Tapteng,saya merasakan selama banjir kemarin bahu dan badan saya cape dan lelah karena kesulitan mengangkat air bersih untuk dipakai di rumah,rasa lama banjir kemarin bahu badan cape lelah sulit angkat air bersih pakai rumah,4. Kesejahteraan Sosial,Negatif
Perempuan,15-17 tahun,Tapteng,terasa sakit berat lelah seperti menahan beban yang mungkin tak seharusnya saat itu dirasakan rasa sakit yang tak seperti biasa yang harus ditahan karena keadaan dan situasi memaksa harus sanggup merasakannya,asa sakit berat lelah tahan beban mungkin tak saat rasa rasa sakit tak biasa tahan ada situasi paksa harus sanggup rasa,2. Kesehatan,Negatif
Perempuan,15-17 tahun,Tapteng,capek pegal pusng karena membersihkan rumah yang kenak lumpur mulai dari mencangkul menyorong menyekop memtumbilang selama minggu tiada henti dari pagisore,capek pegal pusng bersih rumah nak lumpur mulai cangkul sorong sekop memtumbilang lama minggu tiada henti pagisore,2. Kesehatan,Negatif
Perempuan,15-17 tahun,Tapteng,capek pegal pusng karena membersihkan rumah yang kenak lumpur mulai dari mencangkul menyorong menyekop memtumbilang selama minggu tiada henti dari pagisore,capek pegal pusng bersih rumah nak lumpur mulai cangkul sorong sekop memtumbilang lama minggu tiada henti pagisore,4. Kesejahteraan Sosial,Negatif
Perempuan,15-17 tahun,Tapteng,setelah terjadi banjir bandang terjadi yang saya rasakan adalah badan saya terasa sakit gatalgatal terus saya juga kurang enak badan kepala pusing,jadi banjir bandang jadi rasa badan asa sakit gatalgatal terus saya juga kurang enak badan kepala pusing,2. Kesehatan,Negatif
Perempuan,15-17 tahun,Tapteng,yang dirasakan bahu yaitu sakit capek pegal karena membersihkan rumah sendiri dan membantu memebrshkan rumah orang lain,rasa bahu sakit capek pegal bersih rumah sendiri bantu memebrshkan rumah orang,2. Kesehatan,Negatif
Perempuan,15-17 tahun,Tapteng,yang dirasakan bahu yaitu sakit capek pegal karena membersihkan rumah sendiri dan membantu memebrshkan rumah orang lain,rasa bahu sakit capek pegal bersih rumah sendiri bantu memebrshkan rumah orang,4. Kesejahteraan Sosial,Negatif
Perempuan,15-17 tahun,Tapteng,yang dirasakan bahu yaitu sakit capek pegal karena membersihkan rumah sendiri dan membantu memebrshkan rumah orang lain,rasa bahu sakit capek pegal bersih rumah sendiri bantu memebrshkan rumah orang,5. Pengetahuan Bencana,Negatif
Perempuan,15-17 tahun,Tapteng,dari awal banjir sampai sekarang badan terasa lelah dan capek karena membersihkan rumah dari lumpur yang tebal,awal banjir sekarang badan asa lelah capek bersih rumah lumpur tebal,2. Kesehatan,Negatif
Perempuan,15-17 tahun,Tapteng,dari awal banjir sampai sekarang badan terasa lelah dan capek karena membersihkan rumah dari lumpur yang tebal,awal banjir sekarang badan asa lelah capek bersih rumah lumpur tebal,4. Kesejahteraan Sosial,Negatif
Perempuan,15-17 tahun,Tapteng,capek dan sekaranf tidsk terlalu sudah lega dengan semua karena semua yang kita rasakan bencana yang pertama kali jadi capek banget,capek sekaranf tidsk terlalu lega semua semua kita rasa bencana pertama kali jadi capek banget,2. Kesehatan,Negatif
Perempuan,15-17 tahun,Tapteng,capek karna selama bencana air mati jadi tiap hari mengangkat air untuk dijadikan air minum dan untuk mandi,capek karna lama bencana air mati jadi tiap hari angkat air jadi air minum untuk mandi,2. Kesehatan,Negatif
Perempuan,15-17 tahun,Tapteng,saya merasakan pegalpegal kelelahan setelah kejadian banjir,rasa pegalpegal lelah jadi banjir,2. Kesehatan,Negatif
Perempuan,15-17 tahun,Tapteng,perasaan terjadinya banjir sudah pasti sedih kenapa ya karena banjir membuat saya kebingungan atau susah dalam melanjutkan sekolah saya banyak impian yang mungkn buat saya bimbang dalam menentukan gimana kelanjutan sekolah,asa jadi banjir pasti sedih ya banjir buat bingung susah lanjut sekolah banyak impi mungkn buat bimbang tentu gimana lanjut sekolah,1. Pendidikan,Negatif
Perempuan,15-17 tahun,Tapteng,perasaan terjadinya banjir sudah pasti sedih kenapa ya karena banjir membuat saya kebingungan atau susah dalam melanjutkan sekolah saya banyak impian yang mungkn buat saya bimbang dalam menentukan gimana kelanjutan sekolah,asa jadi banjir pasti sedih ya banjir buat bingung susah lanjut sekolah banyak impi mungkn buat bimbang tentu gimana lanjut sekolah,3. Perlindungan Anak,Negatif
Perempuan,15-17 tahun,Tapteng,saya rasakan yaitu kecemasan risau dikarenakan putusnya alat komunikasi atau transportasi saya merasa sedih karena tidak bisa berkomunikasi kepada keluarga yang jauh,rasa cemas risau karena putus alat komunikasi transportasi rasa sedih tidak komunikasi keluarga jauh,3. Perlindungan Anak,Negatif
Perempuan,15-17 tahun,Tapteng,sedih melihat kondisi lingkungan sedih pada saat banyaknya mendengar sampai ada yang meninggal dan kondisi perekonomian,sedih lihat kondisi lingkung sedih saat banyak dengar ada tinggal kondisi ekonomi,3. Perlindungan Anak,Negatif
Perempuan,15-17 tahun,Tapteng,trauma karna bencana ini pertama kali terjadi seperti ini dan banyak memakan korban dan kehilangan keluarga dan juga kehilangan tempat tinggal,trauma karna bencana pertama kali jadi ini banyak makan korban hilang keluarga juga hilang tempat tinggal,2. Kesehatan,Negatif
Perempuan,15-17 tahun,Tapteng,trauma karna bencana ini pertama kali terjadi seperti ini dan banyak memakan korban dan kehilangan keluarga dan juga kehilangan tempat tinggal,trauma karna bencana pertama kali jadi ini banyak makan korban hilang keluarga juga hilang tempat tinggal,3. Perlindungan Anak,Negatif
Perempuan,15-17 tahun,Tapteng,sedih banget kehilangan dan yah tentuhnya sedih banget,sedih banget hilang yah tentuhnya sedih banget,3. Perlindungan Anak,Negatif
Perempuan,15-17 tahun,Tapteng,saya merasa sedih pada saat bencana terjad kemarin karena abang dan kakak saya tidak bisa menghubungi kami karena jaringan pada saat itu hilang beberapa hari dan juga keluarga yang lain sulit dikabarin,rasa sedih saat bencana terjad kemarin abang kakak tidak hubung karena jaring saat hilang beberapa hari juga keluarga lain sulit dikabarin,3. Perlindungan Anak,Negatif
Perempuan,15-17 tahun,Tapteng,masih membekas dipikiran saya adalah pada saat banjir kaya dari pagi belum makan sampai sore pada saat sebelum penyelamatan dan saya disitu kedinginan dan takut gelisah,bekas pikir adalah saat banjir kaya pagi makan sore saat selamat saya situ dingin takut gelisah,2. Kesehatan,Negatif
Perempuan,15-17 tahun,Tapteng,masih membekas dipikiran saya adalah pada saat banjir kaya dari pagi belum makan sampai sore pada saat sebelum penyelamatan dan saya disitu kedinginan dan takut gelisah,bekas pikir adalah saat banjir kaya pagi makan sore saat selamat saya situ dingin takut gelisah,3. Perlindungan Anak,Negatif
Perempuan,15-17 tahun,Tapteng,masih membekas dipikiran saya adalah pada saat banjir kaya dari pagi belum makan sampai sore pada saat sebelum penyelamatan dan saya disitu kedinginan dan takut gelisah,bekas pikir adalah saat banjir kaya pagi makan sore saat selamat saya situ dingin takut gelisah,6. Harapan Anak,Negatif
Perempuan,15-17 tahun,Tapteng,saya trauma pikiran kacau saat bencana saya menangis takut airnya bakalan besar dan merenungrenung gimana keadaan rumah gimana barangbarang rumah apakah masih ada dan tidak,trauma pikir kacau bencana menang takut air bakal besar merenungrenung gimana ada rumah gimana barangbarang rumah masih dan,3. Perlindungan Anak,Negatif
Perempuan,15-17 tahun,Tapteng,saya trauma pikiran kacau saat bencana saya menangis takut airnya bakalan besar dan merenungrenung gimana keadaan rumah gimana barangbarang rumah apakah masih ada dan tidak,trauma pikir kacau bencana menang takut air bakal besar merenungrenung gimana ada rumah gimana barangbarang rumah masih dan,4. Kesejahteraan Sosial,Negatif
Perempuan,15-17 tahun,Tapteng,hati saya sedih melihat orang yang nyawanya hilang karena terkena longsor dan saya cemas akibat tidak boleh menghubungi keluarga karena jaringan tidak ada dan listrik mati,hati sedih lihat orang nyawa hilang kena longsor saya cemas akibat boleh hubung keluarga jaring ada listrik mati,3. Perlindungan Anak,Negatif
Perempuan,15-17 tahun,Tapteng,hati saya sedih melihat orang yang nyawanya hilang karena terkena longsor dan saya cemas akibat tidak boleh menghubungi keluarga karena jaringan tidak ada dan listrik mati,hati sedih lihat orang nyawa hilang kena longsor saya cemas akibat boleh hubung keluarga jaring ada listrik mati,5. Pengetahuan Bencana,Negatif
Perempuan,15-17 tahun,Tapteng,perasaan yang saya rasakan setelah banjir bandang terjadi adalah sampai saat in ketakutan yang begitu mendalam saya sangat takut banjir itu terjadi lagi saya sangat sedih karena desa saya banyak yang hancur,asa rasa banjir bandang jadi sampai in takut begitu dalam sangat takut banjir jadi saya sangat sedih desa saya banyak hancur,3. Perlindungan Anak,Negatif
Perempuan,15-17 tahun,Tapteng,perasaan yang saya rasakan dari awak banjir sampai sekarang yaitu sedih dan haru karena banjir yang sangat besar dari sebelumsebelum banjir yang telah terjadi kini,asa saya rasa awak banjir sekarang sedih haru banjir sangat besar sebelumsebelum banjir telah jadi kini,3. Perlindungan Anak,Negatif
Perempuan,15-17 tahun,Tapteng,pada saat banjir yang saya pikirkan bagaimana perekonomian keluarga pada saat itu dikarenakan susahnya pencarian pada saat itu,saat banjir saya pikir bagaimana ekonomi keluarga saat karena susah cari saat,3. Perlindungan Anak,Negatif
